# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
USco1610-1913 b,Confirmed,57.0,28.0,28.0,,,,3.87,0.12,0.24,,,,840.0,90.0,90.0,,,,,,,,2013,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,2542.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,USco1610-1913,242.6333,-19.219055,,,13.9,,,,,,,,,,,,,,,K7,,,,4140.0,130.0,160.0,,,
USco1612-1800 b,Confirmed,26.0,7.0,16.0,,,,,,,,,,430.0,40.0,40.0,,,,,,,,2013,2014-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.0,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1612-1800,243.2042,-18.01375,,,,,13.2,,,,,,,,,,,,,M3,,,,3410.0,130.0,150.0,,,
UScoCTIO 108 b,Confirmed,14.0,8.0,2.0,,,,,,,,,,670.0,,,,,,,,,4.62069,2007,2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,UScoCTIO 108,241.475,-18.3119444,,15.65,14.42,15.07,,145.0,2.0,2.0,,,,0.057,0.02,0.02,,,,M7,0.011,0.002,0.002,2600.0,100.0,100.0,,,
V 921 Sco b,Confirmed,60.0,,,,,,,,,,,,835.0,,,,,,,,,,2019,2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,V921 Sco,254.779166669,-42.702500016,11.0,,,,,1550.0,200.0,200.0,,,,20.0,,,,,,B0IVe,,,,,,,,,
VHS 1256-1257 b,Confirmed,19.0,5.0,5.0,,,,,,,,,,102.0,9.0,9.0,,,,,,,,2015,2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.0,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,VHS 1256-1257 ,194.008333334,-12.956666691,17.8,,,,,12.7,1.0,1.0,,,,0.073,0.02,0.015,,,,M7.5,0.2,0.1,0.05,2620.0,140.0,140.0,,,
WD 0806-661 B b,Confirmed,8.0,2.0,2.0,,,,,,,,,,2500.0,,,,,,,,,130.208333,2011,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,WD 0806-661B,121.725,-66.3047222,,,,,,19.2,0.6,0.6,,,,0.62,0.03,0.03,,,,DQ D,1.5,0.3,0.3,,,,,,
WISE  J1355-8258 b,Confirmed,9.0,,,,,,,,,,,,,,,,,,,,,,2018,2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,WISE  J1355-8258,208.762500001,-82.97722225,,,,,,16.7,5.3,5.3,,,,0.011,,,,,,sdL5,0.165,0.035,0.035,,,,,,
WISE 0855-0714,Confirmed,6.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,2014,2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,WISE J085510.83-071442.5,,,133.795833337,-7.245277792,,,,,,2.31,0.08,0.08,,,,,,,,,,,,,,,,,,,
WISE 1118+3125,Confirmed,26.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,2013,2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,WISE J111838.70+312537.9,,,169.661208346,31.4271389056,,,,,,8.8,0.4,0.4,,,,,,,,,,,,,,,,,,,
WISE 1217+16 A b,Confirmed,22.0,2.0,2.0,,,,0.96,0.03,0.03,47400.0,11000.0,80000.0,7.6,,,,,,,,,,2012,2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,4.8,Published in a refereed paper,Imaging,,,"WISEPC J121756.91+162640.2B, WISE J1217+1626B","CH4, H2, H2O",WISE 1217+16 A,184.487500019,16.444444462,19.0,,18.0,,,10.0,2.0,2.0,,,,0.03,0.005,0.005,0.091,0.004,0.004,T8.5,6.0,2.0,2.0,575.0,25.0,25.0,,,
WISE 1711+3500 b,Confirmed,18.0,7.0,7.0,,,,,,,125000.0,29000.0,29000.0,15.0,2.0,2.0,,,,,,,,2012,2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,,,,,4.56,Published in a refereed paper,Imaging,,,WISE J1511+3500B,,WISE 1711+3500,257.770833335,35.010277786,18.0,,,,,19.0,3.0,3.0,,,,0.034,0.012,0.012,,,,T8,3.0,2.0,2.0,770.0,80.0,80.0,,,WISE J1511+3500B
WISE 1828+2650,Confirmed,10.25,9.75,9.75,,,,,,,,,,,,,,,,,,,,2011,2018-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,75.0,75.0,,,,,,,Published in a refereed paper,Imaging,,,WISEP J1828+2650,,,277.13000001,26.8439166918,,,,,,11.2,1.0,1.3,,,,,,,,,,,,,,,,,,,
WISE 2005+5424,Confirmed,29.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,2011,2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,WISE J200520.38+542433.9,,,301.253416667,54.4316389092,,,,,,15.83,0.96,0.96,,,,,,,,,,,,,,,,,,,
WISE 2150A b,Confirmed,34.0,22.0,22.0,,,,,,,,,,341.0,,,,,,,,,,2019,2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE 2150A,327.566666672,-75.343611126,,,,,,24.2,,,,,,0.072,0.012,0.012,,,,L1,,,,2118.0,62.0,62.0,,,2MASS J21501592-7520367
WISE J0720-0846,Confirmed,62.0,0.11,0.09,,,,,,,1388.0,475.0,1096.0,1.3,0.3,0.6,0.8,0.6,0.0,93.5,1.6,2.0,,2014,2015-11-24,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE J0720-0846,110.012500001,-8.78083336,,,,,,6.8,0.7,0.7,,,,0.081,0.016,0.028,,,,M,,,,,,,,,
WISE0047,Confirmed,20.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,2012,2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,"WISEP J004701.06+680352.1, 2MASS J00470038+6803543, W0047+68",,,11.7516110001289,68.0651020130816,,,,,,12.1,0.2,0.2,,,,,,,,,,,,,,,,,,,
WISEA  J083011.95+283716.0,Confirmed,8.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,2020,2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,,,,,,,,,Submitted to a professional journal,Imaging,,,WISEA  J0830+2837,,,127.54979167065,28.621111127,,,,,,11.1,1.5,2.0,,,,,,,,,,,,,,,,,,,
Wolf 940 b,Confirmed,26.0,6.0,6.0,,,,0.92,0.04,0.04,,,,400.0,22.0,22.0,,,,,,,,2009,2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,Published in a refereed paper,Imaging,Spectrum,,2MASS J21464040-0010233 b,,Wolf 940,326.668428113,-0.173269885854,12.7,,8.36,,,12.5,0.67,0.75,-0.06,0.2,0.2,0.27,0.03,0.03,,,,M4V,5.0,1.5,1.5,,,,,,2MASS J21464040-0010233
beta Cir b,Confirmed,56.0,7.0,7.0,,,,,,,,,,6656.0,,,,,,,,,,2015,2015-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,bet Cir b,,beta Cir,229.379166677,-58.801111128,,,,,,30.56,0.18,0.18,,,,1.96,0.001,0.003,,,,A3V,0.367,,,8676.0,33.0,33.0,,,bet Cir
beta Pic b,Confirmed,9.8,2.7,2.7,,,,1.65,0.06,0.06,7707.0,300.0,730.0,9.2,0.2,0.6,0.029,0.024,0.061,88.88,0.03,0.04,0.440415,2008,2020-11-13,25.0,62.0,15.0,2456380.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Radial Velocity,Flux,bet Pic b,"C, H, N, O I",beta Pic,86.8208333,-51.0663889,3.86,,,,,19.3,0.2,0.2,,,,1.73,0.05,0.05,,,,A6V,0.04,0.004,0.004,,,,Imaging,,bet Pic
kappa And b,Confirmed,13.0,2.0,12.0,,,,1.2,0.1,0.2,215000.0,100000.0,100000.0,100.0,46.0,27.0,0.69,0.1,0.14,121.0,10.0,10.0,,2013,2018-10-24,129.5,35.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,,,,,4.5,Published in a refereed paper,Imaging,Spectrum,,kap And b,H2O,kappa And,355.1042,44.3339,4.14,0.2,4.6,,,50.0,0.1,0.1,-0.36,0.09,0.09,2.8,0.2,0.1,2.29,0.06,0.06,B9IV,0.047,0.04,0.027,11361.0,66.0,66.0,,,"HD 222439, HR 8976, HIP 116805, 19 Andromedae, kap And"
zet Del B,Confirmed,40.0,5.0,15.0,,,,,,,,,,907.0,236.0,723.0,,,,,,,,2014,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Published in a refereed paper,Imaging,Spectrum,,,,zet Del A,308.827231817,14.6742132163,4.647,,4.821,4.484,4.357,67.48,1.05,1.05,-0.05,,,2.5,0.2,0.2,,,,A3V,0.525,0.125,0.125,8336.0,,,,,"HD 196180, HIP 101589, 2MASS J20351852+1440272"
